Name,PredDNN,OldRating
Winhard,6.156905,5.49643
Flip the Bird,6.062143,5.47189
Seimi in the Super Crazy World,6.0421934,5.51637
Mighty,6.587143,5.5538
Spice Navigator,6.232872,5.50399
Zorndorf,7.0209556,5.59205
Reconquista,6.6041327,5.54231
Fanhunter: Assault,6.0553145,5.51791
Brew Dice,6.0114098,5.51115
Party Pooper,6.1009893,5.48993
Hacker,6.439887,5.491
Hội Phố,6.8451715,5.48969
Navíos de Línea: Trafalgar 1805,6.2467766,5.53913
Judge for Yourself,6.2689495,5.46674
Conspiracy Theory,6.1439457,5.50056
Megaman NT Warrior Trading Card Game,6.677107,5.50549
Burdigala,6.2725997,5.51664
Island Trader,6.137371,5.52362
Trailer Park Boys Board Game,6.020422,5.51022
Grave Robbers III: Suburban Slashers from Sunnydale Street,6.0120516,5.52835
M.O.R.P.H.O.,7.003577,5.54221
Kameleo,6.266367,5.50442
House Flippers,6.6339693,5.49417
Magistrar: Duel of the Mages,6.751378,5.51742
10 Dice,6.1804605,5.5338
Vikings on the Volga,6.314001,5.51366
Flower Fields,6.824337,5.52388
Murder at Blood Mansion,6.1244655,5.52544
Visual Game,6.4116535,5.52491
Carrossel,6.361187,5.53027
Chain Reaction,6.185302,5.50535
Claymania,6.1462026,5.50255
King's Valley,6.001769,5.53479
FUBA,6.6805696,5.59223
Composio,6.3103127,5.50677
Crop Circles,6.6093397,5.5574
Check Your 6!,6.6763887,5.64713
White Elephant,6.2427053,5.51992
Cucina Curiosa,6.4931784,5.51977
Pogo,6.012745,5.51067
Spinnengift und Krötenschleim,6.0332355,5.52311
Epées de France,7.1663513,5.5323
Exploring Galapagos,6.6139746,5.50801
Happiest Town,6.129733,5.52625
Zombie Ninja Pirates,5.984331,5.4915
An Army at Dawn: Tunisia 1942-1943 – A Panzer Grenadier Game,6.6306744,5.53987
Animal Olympics,6.198695,5.51479
Autonomía Zapatista,6.885569,5.50678
Old Town: Solo,6.5633097,5.5272
Frik,6.073352,5.4901
Baston,6.292067,5.51485
Fruit Mix,6.0774684,5.49757
Mapominoes: Asia & Australasia,6.051382,5.52097
1944: Second Front – From D-Day to Victory in the West,6.552285,5.49158
Nautic Miles,6.0664034,5.50631
Periorbis,7.380825,5.52659
Marble Bobsleigh,6.516633,5.49866
Canaletto,6.2231054,5.49346
Suspects: The MacGuffin Affair,6.8479967,5.54556
Donburiko,6.31099,5.54236
Stratopolis,6.39505,5.55422
Chachapoya (Second Edition),6.0659504,5.53248
Killing Code: Venice Vendetta,6.2669444,5.52194
G.I. JOE Mission Critical,6.902694,5.58882
Betrayal: Deck of Lost Souls,6.550348,5.49952
Stalin's Tanks: Armor Battles on the Russian Front,6.3941836,5.52279
French and Indian War,6.262556,5.5221
Monopoly: Zapped Edition,6.045601,5.49372
Swashbuckled!,6.010258,5.51431
Flick Wars,6.098688,5.5519
Bezzerwizzer Familie,6.1636057,5.50801
Disruptus,6.399758,5.48882
Collusion,6.5684175,5.5341
Days of Decision,6.788393,5.54097
Waroong Wars (Second Edition),6.6678095,5.54024
Idol Quest,5.996046,5.49525
PJ Masks: Night Sight,6.1230955,5.49539
Napoleon's Imperium,6.963973,5.5196
Hidden Panda,6.3475633,5.4966
Stalingrad 1942-43,6.418104,5.51143
Magic Market,6.0133576,5.50956
Danger in the Deep,6.7052693,5.5619
