Name,PredLasso,PredRF,PredKNN,PredSVM,OldRating,AvgPred
Mighty Warriors,5.965972960221486,6.223634380000001,6.4199280000000005,6.0859269045457935,5.49758,6.17386556119182
Kreta 1941,6.748620559719126,6.716098306374418,6.759507999999999,6.7847539480754655,5.50824,6.752245203542253
Numbers Up,6.286817634392407,5.470560340000006,6.125898000000001,6.330304791207704,5.49056,6.053395191400028
Redcliff Bay Mysteries,6.602703746765917,6.885219679999999,6.681924,6.613331622122112,5.54953,6.695794762222007
Battle Spirits: Trading Card Game,6.151408227155434,6.357071624999998,5.984336,6.263085883478334,5.51923,6.188975433908441
How to Host a Murder: The Watersdown Affair,6.618723507986649,6.785560786333337,6.592448,6.7566902869881105,5.5274,6.688355645327024
Gates of Mara,7.058668835722805,7.463568799999997,6.441862,6.749120261909991,5.55585,6.928304974408198
The Longest Trench,6.810624499845001,7.014048390000008,6.346602,6.968893254597665,5.54385,6.785042036110669
Lino,6.634283162282867,6.981565011906208,6.637510000000001,6.556364412485104,5.5496,6.702430646668544
Agricola Express,6.534519982881249,6.4742948176190485,6.2521320000000005,6.45335878748845,5.53095,6.428576396997187
Ultimate Werewolf: Extreme,6.781834609423212,7.14981846666667,6.174477999999999,6.6569556894881865,5.63146,6.6907716913945166
The War of the Worlds: England,6.626529109381321,7.076150178122782,6.241656000000001,6.766936330168956,5.59154,6.677817904418265
Wonky: The Unstable Adult Party Game,6.516161415588572,6.428022300000007,5.889318,6.603161182018981,5.52025,6.35916572440189
Button Soccer,6.556498517378644,5.829784120000003,6.6110440000000015,6.630098647643901,5.55678,6.4068563212556375
Owly Tribe,6.268476068098474,6.462560500000007,6.579022,6.613063854775887,5.51041,6.480780605718593
Kookaburra Game,5.835743924511365,6.080863820000006,5.894468000000001,5.935623674734148,5.49418,5.93667485481138
Urban Panic,6.588046221655253,6.834429246666668,6.167658000000001,6.500675274794736,5.50515,6.522702185779165
MOD X,6.417667426805736,6.766715403369969,6.421088,6.219462372531007,5.54545,6.4562333006766774
Irány a Kincses Sziget!,6.5474360357857755,6.764265479999998,6.192950000000001,6.827455574974896,5.50697,6.583026772690167
Jeopardy! Simpsons Edition,6.28003407970127,6.2566918999999945,6.144722000000001,6.2725426418542884,5.4822,6.238497655388889
"Warhammer 40,000: First Strike",6.948361401013537,7.115605952727263,6.502312000000001,6.766035451138034,5.545,6.8330787012197085
Ochs & Esel,6.275990254407432,6.208510343444447,6.595434,6.385868122393354,5.52762,6.366450680061308
Artifact,6.766762463037554,6.252892532777782,6.096786,6.857034871703066,5.50753,6.493368966879601
Turtle Splash!,6.304325638208693,6.383252140000014,6.340684,6.44243735346088,5.57161,6.367674782917398
Hepta,6.326052590237261,5.617909219999998,6.105682,6.032054653071102,5.49899,6.020424615827089
Petri Dish,6.488351097151628,6.777431670769245,6.308258,6.300606941318414,5.51698,6.468661927309821
Pencil Park,6.731377810453717,6.892763360000017,6.283426,6.806739476327124,5.53913,6.678576661695214
Trainsport: Switzerland,6.8905938352588345,6.931031165374422,6.2768,6.665491430824578,5.51336,6.690979107864458
Banquet Royal,6.364704119316869,6.388521920000003,6.141579999999999,6.497949898701777,5.5102,6.348188984504661
Gatenkaas,6.0798105953626855,6.584325623369968,5.77279,6.189058003384686,5.50515,6.156496055529335
The Treasure of Montecristo Island,5.8882754706503055,6.483561080000005,6.2258320000000005,6.086177451682143,5.50919,6.170961500583114
Unconditional Surrender,7.0751460795929475,6.835858956190477,6.802466,7.106475968081162,5.49736,6.954986750966147
Ruweisat Ridge: The First Battle of El Alamein,6.6607523959047015,6.4698913000000005,6.6219920000000005,6.74466547544851,5.52194,6.624325292838303
Chutes Away!!!!!,6.179473320191806,5.311186400000003,6.547248000000001,6.570202822064976,5.49879,6.152027635564197
Floral,6.680633172332073,6.752150240000003,6.5876660000000005,6.725804679844987,5.52626,6.686563523044266
Magic: The Gathering – Game Night,7.122477577043704,7.072292382036198,6.113370000000001,6.5457690073894,5.57761,6.713477241617325
Googly Eyes,5.7984963060274195,6.034161636666669,6.393826000000001,6.270610778628141,5.4493,6.124273680330557
Construction Zone,6.286023466881749,6.599462040000006,6.11224,6.110920742066769,5.52224,6.277161562237131
Pipeline: The Oil Game,6.494751881332934,6.189665959999997,6.30463,6.327848633178343,5.48901,6.329224118627819
Dragon Whisperer,6.53585356678489,6.575167454523807,6.386244,6.652177773240562,5.49211,6.537360698637315
Big Brother: The Game,5.892595582392181,6.018412559999995,6.260313999999999,5.838299112277025,5.43686,6.002405313667301
Draw Out,6.088527292259437,6.113459009523809,6.537093999999999,6.278517130505413,5.47471,6.254399358072165
Monopoly Town,5.497945175604275,6.273320752857145,5.6839640000000005,5.898568479202117,5.47725,5.838449601915885
Creepy Freaks,5.929511443745267,6.0442175199999975,6.144086,6.249192767921634,5.4717,6.091751932916725
Luftschiff,7.326106534623074,7.281303879999996,6.346318,7.047841137022008,5.55631,7.00039238791127
Terminator Genisys: The Miniatures Game – The War Against The Machine,6.792951217779406,7.190483852777774,6.460834,6.482847493770212,5.56669,6.731779141081848
The Moscow Option: Guderian's Gambit,6.641481192411154,6.788637773999994,6.307294000000001,6.667258877275663,5.50903,6.601167960921703
Age of Soccer,6.329182107022449,6.60011398,6.4503900000000005,6.4243427308892835,5.49004,6.451007204477933
Tuppfehler,6.18820475456183,6.436577160000008,6.209914,6.377896231417679,5.53503,6.303148036494879
Reverse Charades Junior Edition,6.542922219722296,6.544581607773203,6.35025,6.2375354313642255,5.52604,6.418822314714931
Vira,7.270807567921985,7.298946560000007,6.4113880000000005,6.579903234520197,5.52395,6.890261340610547
"Trust Me, I'm a Doctor",6.051653274281575,6.501156700000003,6.208360000000001,6.746640491059347,5.4883,6.376952616335231
Rainbow 35,6.028182828501814,6.406414080000008,6.21019,6.385828243007997,5.50237,6.257653787877454
Desolated: Duel,6.66642498755881,7.143391774242421,6.348286,6.452918283923936,5.49731,6.652755261431292
Code Breaker,6.577652674183525,6.360397585238088,6.661798,6.836694223197949,5.50121,6.60913562065489
Zampa La Granja,6.1536594424296895,6.349382340000012,6.02241,6.464588757700314,5.52032,6.247510135032504
Aztack,6.356249628111167,6.703474629523807,6.227036,6.385939131973452,5.50834,6.418174847402106
Teraforming,6.484794430022916,6.3124136949999965,6.293808,6.7599218256227775,5.48518,6.462734487661422
Texas Zombies,6.528036484224224,6.563968256666666,6.189248,6.346305677353373,5.50136,6.406889604561066
